Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
172,1.433333,-31.448116,7.452112,-17.479385,-7.595913,-33.919010,427.058990
173,1.441667,-31.162048,7.277098,-17.815987,-7.794220,-33.706264,426.403229
174,1.450000,-30.807278,7.108580,-18.232117,-8.048591,-33.444607,425.729340
175,1.458333,-30.436050,6.969989,-18.749397,-8.387863,-33.174210,425.117432
176,1.466667,-30.128300,6.871769,-19.293034,-8.748106,-32.932919,424.542816
177,1.475000,-29.839512,6.869068,-19.799337,-9.206352,-32.700562,423.975861
178,1.483333,-29.590094,6.938968,-20.167976,-9.686499,-32.493034,423.445465
179,1.491667,-29.319252,7.036551,-20.427610,-10.207755,-32.302296,422.936462
180,1.500000,-29.071289,7.135607,-20.608360,-10.696589,-32.111008,422.410461
181,1.508333,-28.910416,7.173951,-20.731312,-11.152627,-31.945631,421.916046
182,1.516667,-28.719162,7.197937,-20.788671,-11.548708,-31.805887,421.467499
183,1.525000,-28.569363,7.155123,-20.777180,-11.881714,-31.697035,421.012970
184,1.533333,-28.467531,7.039097,-20.661301,-12.142756,-31.633146,420.587524
185,1.541667,-28.372915,6.893277,-20.405796,-12.351551,-31.626959,420.191071
186,1.550000,-28.359766,6.735293,-20.001104,-12.504355,-31.682613,419.822510
187,1.558333,-28.385374,6.603492,-19.601389,-12.649694,-31.753986,419.440155
188,1.566667,-28.358545,6.452946,-19.289204,-12.811397,-31.844206,419.078491
189,1.575000,-28.317347,6.311682,-19.104746,-12.976254,-31.924751,418.691132
190,1.583333,-28.193914,6.175261,-19.050373,-13.167193,-32.012993,418.303101
191,1.591667,-28.043571,6.068937,-19.107330,-13.398454,-32.117908,417.920776
192,1.600000,-27.877668,6.033638,-19.218958,-13.687863,-32.244560,417.505402
193,1.608333,-27.749388,6.118310,-19.321371,-14.039973,-32.437138,417.128845
194,1.616667,-27.653997,6.267467,-19.313963,-14.410865,-32.668739,416.791931
195,1.625000,-27.660011,6.514668,-19.231998,-14.829453,-32.959293,416.490021
196,1.633333,-27.685846,6.754614,-19.145472,-15.262228,-33.311504,416.222198
197,1.641667,-27.802065,7.006319,-19.046293,-15.703326,-33.757385,416.036011
198,1.650000,-27.932755,7.196197,-18.901438,-16.080767,-34.217964,415.850159
199,1.658333,-28.101238,7.390775,-18.679651,-16.404547,-34.720375,415.690704
200,1.666667,-28.288965,7.530045,-18.356850,-16.668800,-35.283329,415.584961
201,1.675000,-28.478415,7.607313,-18.036366,-16.858479,-35.882816,415.513580
202,1.683333,-28.733728,7.646853,-17.712648,-16.991510,-36.532337,415.434296
203,1.691667,-28.996838,7.693948,-17.355913,-17.102877,-37.264313,415.420563
204,1.700000,-29.298130,7.705873,-17.011078,-17.209780,-38.021393,415.398285
