Format Version,1.25,Take Name,Take 2025-04-29 12.39.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-29 12.39.37.060 PM,Capture Start Frame,35987,Total Frames in Take,5690,Total Exported Frames,5690,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
122,1.016667,-99.091560,1.474028,-20.215580,0.353482,-73.006149,443.039154
123,1.025000,-99.090004,1.470804,-20.212049,0.338414,-73.007439,443.042480
124,1.033333,-99.032784,1.401919,-20.219658,0.186623,-72.972931,443.096527
125,1.041667,-98.977142,1.305770,-20.239866,-0.053931,-72.934486,443.234375
126,1.050000,-98.898842,1.168143,-20.243240,-0.364391,-72.875992,443.396881
127,1.058333,-98.821068,1.023744,-20.244072,-0.714633,-72.818565,443.601410
128,1.066667,-98.719170,0.883062,-20.251501,-1.083503,-72.755898,443.762726
129,1.075000,-98.664551,0.744664,-20.246452,-1.412815,-72.709816,443.887573
130,1.083333,-98.628723,0.630063,-20.248636,-1.710538,-72.684883,443.983551
131,1.091667,-98.633583,0.534790,-20.257113,-1.952631,-72.676979,444.010132
132,1.100000,-98.647583,0.457154,-20.264336,-2.134507,-72.687592,443.980469
133,1.108333,-98.656708,0.409603,-20.283758,-2.264052,-72.696365,443.955688
134,1.116667,-98.655739,0.380850,-20.302483,-2.342621,-72.702713,443.919556
135,1.125000,-98.677994,0.381919,-20.332226,-2.347923,-72.713356,443.879059
136,1.133333,-98.706581,0.401491,-20.371168,-2.316709,-72.726517,443.865448
137,1.141667,-98.722023,0.426894,-20.397879,-2.264015,-72.734444,443.846527
138,1.150000,-98.734406,0.455804,-20.423883,-2.187430,-72.740295,443.814026
139,1.158333,-98.749161,0.494155,-20.447912,-2.099113,-72.751938,443.800842
140,1.166667,-98.758385,0.541956,-20.476124,-1.989537,-72.757782,443.771301
141,1.175000,-98.784264,0.580557,-20.492401,-1.878922,-72.769157,443.758087
142,1.183333,-98.762138,0.616092,-20.519966,-1.774955,-72.766579,443.721893
143,1.191667,-98.780373,0.637522,-20.521530,-1.710220,-72.775375,443.705658
144,1.200000,-98.779617,0.637398,-20.515795,-1.698014,-72.775093,443.684692
145,1.208333,-98.778938,0.606880,-20.497953,-1.752512,-72.768433,443.713196
146,1.216667,-98.761169,0.558060,-20.461878,-1.872077,-72.744881,443.811432
147,1.225000,-98.688255,0.475545,-20.426830,-2.043257,-72.695251,443.950409
148,1.233333,-98.585716,0.384251,-20.392328,-2.249886,-72.636475,444.142120
149,1.241667,-98.481674,0.285991,-20.339430,-2.479046,-72.569435,444.309509
150,1.250000,-98.439636,0.204657,-20.301683,-2.669475,-72.529083,444.459961
151,1.258333,-98.388199,0.141825,-20.283749,-2.812855,-72.493973,444.572449
152,1.266667,-98.346207,0.111118,-20.294020,-2.891472,-72.470665,444.664734
153,1.275000,-98.313568,0.099877,-20.313301,-2.910241,-72.452988,444.707733
154,1.283333,-98.305359,0.110063,-20.349745,-2.887365,-72.448547,444.722992
155,1.291667,-98.310852,0.119726,-20.388315,-2.849523,-72.451340,444.705475
156,1.300000,-98.330971,0.134166,-20.433786,-2.815277,-72.462242,444.675232
157,1.308333,-98.330238,0.126145,-20.468712,-2.819173,-72.465073,444.662109
158,1.316667,-98.324982,0.102185,-20.490942,-2.866733,-72.460060,444.681030
159,1.325000,-98.296074,0.053594,-20.504812,-2.952177,-72.441780,444.720825
160,1.333333,-98.271614,0.001156,-20.516638,-3.060075,-72.427490,444.785645
161,1.341667,-98.273209,-0.036080,-20.518135,-3.147130,-72.425537,444.830322
162,1.350000,-98.272789,-0.067577,-20.535019,-3.209127,-72.424393,444.848877
163,1.358333,-98.274162,-0.094396,-20.554678,-3.254039,-72.428261,444.839478
164,1.366667,-98.282295,-0.116580,-20.583303,-3.293853,-72.429008,444.834290
165,1.375000,-98.295158,-0.134477,-20.617241,-3.349107,-72.431313,444.872742
