Rotation X,Rotation Y,Rotation Z,Position X,Position Y,Position Z
0,-0.085232109,0.035927778,0.37025182,-0.102089936,-0.060577644
0,-0.091167701,0.017413466,0.416761201,-0.112027519,-0.066123634
0,-0.111520366,-0.050938288,0.473530721,-0.129539661,-0.056478208
0,-0.076103184,-0.062325196,0.493957185,-0.110714321,-0.042186498
0,-0.071620272,-0.080710508,0.50254062,-0.092059699,-0.035029307
0,-0.057827734,-0.081316776,0.498885499,-0.090025855,0.01632113
0,-0.060498845,-0.055092464,0.494935896,-0.057522182,0.039436168
0,-0.073535809,-0.041469927,0.506464723,-0.011325619,0.039454494
0,-0.056564947,0.003541858,0.487546235,0.034782508,0.062450979
0,-0.053836214,-0.009861046,0.486806866,0.083016001,0.077365048
0,-0.022944913,0.008819318,0.449988567,0.108866688,0.118155571
0,-0.017679802,0.027555963,0.456888287,0.152052294,0.129046271
0,-0.016420413,0.021962071,0.452490917,0.174259821,0.10318104
0,0.017034759,0.077513492,0.447157023,0.192529231,0.102403274
0,-0.00378716,0.037568963,0.431356773,0.190801109,0.112576248
0,0.015827019,-0.002979795,0.432497813,0.197297688,0.102703991
0,0.05784591,-0.013418509,0.41335659,0.188965492,0.100920383
0,0.048515749,-0.074887134,0.430405617,0.206974735,0.086248403
0,0.046431874,-0.088067563,0.393074041,0.196685803,0.089917602
0,0.088787184,-0.04763066,0.391561741,0.192445692,0.094600818
0,0.068553177,-0.096608349,0.369399481,0.181799035,0.095570283
0,0.076914613,-0.06528363,0.32896427,0.163365141,0.108262352
0,0.073797212,-0.073845858,0.313688159,0.136591375,0.106497978
0,0.044303768,-0.073311637,0.284506338,0.123073955,0.089531077
0,0.020495838,-0.045757381,0.236848856,0.090522326,0.102031039
0,0.024737841,0.007499217,0.207397727,0.060096531,0.111803382
0,-0.020071863,0.014017123,0.190981705,0.049156428,0.095125706
0,-0.02269034,0.059870486,0.180943771,0.03580649,0.092582825
0,-0.022996972,0.048395821,0.160064544,0.004045439,0.096396306
0,-0.032862814,0.002307761,0.152692968,-0.027522935,0.099026163
0,-0.025686219,-0.034461818,0.173499364,-0.045673697,0.07526433
0,-0.010653731,-0.017702187,0.146143697,-0.086198201,0.073638632
0,-0.016580771,-0.02883781,0.136154239,-0.099214416,0.069273129
0,-0.027527133,-0.050504815,0.131134719,-0.097381598,0.045362292
0,0.000146353,-0.044181877,0.119167431,-0.103046869,0.044336777
0,0.005989426,-0.033242307,0.078534497,-0.117264742,0.060843246
0,-0.003257815,-0.049329391,0.071595767,-0.096223739,0.041082906
0,0.012623731,-0.008397452,0.037766937,-0.097500863,0.048560864
0,0.015227573,0.001362661,0.021596262,-0.091738205,0.045500006
0,0.031070743,0.024130676,0.011142612,-0.088074146,0.043138937
0,0.024980269,0.016220998,0.022044852,-0.074849383,0.021563414
0,0.021140236,0.020248215,0.025960037,-0.067250814,0.009713998
0,0.012444496,-0.011901993,0.0316827,-0.072811026,-0.001049976
0,0.01498235,-0.023193221,0.03575255,-0.079304696,-0.018788377
0,0.006964669,-0.048919909,0.038121599,-0.081518948,-0.040061877
0,0.00049109,-0.031795178,0.029521959,-0.087524109,-0.038607138
0,-0.023173312,-0.045749657,0.004502822,-0.081457868,-0.051683376
0,-0.010788975,-0.017906379,-0.024636838,-0.078014281,-0.039420097
0,-0.002597969,-0.015644319,-0.048612812,-0.06729747,-0.028432628
0,0.003511416,-0.015843937,-0.063188927,-0.030332088,-0.031206914
0,0.028105033,-0.007472728,-0.073161224,0.000408918,-0.031694906
0,0.037103947,-0.018304843,-0.067869657,0.036383181,-0.02284341
0,0.027481245,-0.04316824,-0.052167667,0.082304885,-0.040498442
0,0.058472704,-0.007924164,-0.049861981,0.108602215,-0.027399468
0,0.054511811,-0.002531212,-0.051225714,0.14904458,-0.025196945
0,0.054283235,0.018645901,-0.043835229,0.191724109,-0.025532591
0,0.030601187,-0.008919125,-0.02229505,0.234925365,-0.048934542
0,0.043720095,0.028570089,-0.040208716,0.255977841,-0.033242167
0,0.045032202,0.044294926,-0.040848619,0.292652849,-0.045719585
0,0.012609174,0.037094747,-0.047006973,0.32362154,-0.065920074
0,0.01177396,0.066105021,-0.077518218,0.323088302,-0.037084849
0,0.011234911,0.080405084,-0.076353441,0.352535492,-0.058352753
0,0.013927249,0.064496263,-0.09889512,0.359671826,-0.048549399
0,0.011322563,0.078671161,-0.117362619,0.354293523,-0.040727108
0,0.014693126,0.085661055,-0.13625632,0.35971181,-0.041308539
0,0.023758678,0.057003879,-0.115967618,0.379544711,-0.058748378
0,0.055104589,0.019430172,-0.126227144,0.376383092,-0.046109547
0,0.090753247,-0.00751962,-0.096079013,0.386222355,-0.072921228
0,0.115758828,-0.031555952,-0.091952708,0.375827014,-0.065124866
0,0.122396965,-0.047498038,-0.08371004,0.364145514,-0.070705232
0,0.138881242,-0.034542295,-0.083538523,0.338634543,-0.088003286
0,0.103009379,-0.077730209,-0.075142114,0.298617072,-0.093969442
0,0.094942831,-0.030254338,-0.059326542,0.272766109,-0.108209168
0,0.049338225,-0.049512249,-0.064190206,0.235034776,-0.108207741
0,0.027556437,-0.007105473,-0.040754831,0.214871415,-0.115867019
0,-0.021987841,-0.001710155,-0.032707182,0.211257294,-0.134342718
0,-0.009300787,0.049813324,-0.052268292,0.178735393,-0.099910702
0,-0.020633491,0.056665114,-0.071698245,0.177925263,-0.103028018
0,-0.010056104,0.0369493,-0.082462428,0.182496839,-0.109967353
0,0.017554597,0.033756266,-0.10325003,0.158438933,-0.071747487
0,0.029085555,0.034577135,-0.108221788,0.149495041,-0.070529415
0,-0.000693499,0.014169437,-0.095784837,0.139806169,-0.070823176
0,-0.009860846,0.041419106,-0.096935354,0.130719856,-0.070752562
0,0.00355045,0.06951133,-0.08644763,0.107886965,-0.061720898
0,0.000437941,0.029935183,-0.06577943,0.093930275,-0.066212931
0,0.020498118,0.009323114,-0.036824571,0.0875309,-0.082101019
0,0.03620135,-0.021169627,-0.014884555,0.074196889,-0.095047768
0,0.03757847,-0.030471867,-0.019864306,0.059426294,-0.091461934
0,0.022401415,-0.038515788,-0.028718194,0.05058102,-0.090722056
0,0.041118612,-0.006981088,-0.032075654,0.050496048,-0.095956614
0,0.046044962,-0.017564691,-0.048000909,0.053484204,-0.079966493
0,0.06886096,-0.027609003,-0.039559794,0.070594441,-0.081470285
0,0.09771609,-0.031650123,-0.031498457,0.071399629,-0.061144169
0,0.107948791,-0.062903708,-0.020617696,0.073813802,-0.049955778
0,0.112020705,-0.053798681,-0.004876097,0.064663701,-0.041449252
0,0.095129423,-0.039650958,0.001060124,0.045056014,-0.025830302
0,0.068062002,-0.030288243,0.031675042,0.038290745,-0.030157272
