Format Version,1.25,Take Name,Take 2025-06-05 03.55.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-05 03.55.41.085 PM,Capture Start Frame,158944,Total Frames in Take,4364,Total Exported Frames,4364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key2,key2,key2,key2,key2,key2,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs
,ID,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6
,Parent,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
133,1.108333,8.497988,-14.781632,7.164583,31.717394,-62.766670,389.766785,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
134,1.116667,8.498651,-14.807823,7.196320,31.787943,-62.700428,389.451355,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
135,1.125000,8.477019,-14.813502,7.241161,31.862595,-62.613277,389.146576,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
136,1.133333,8.449006,-14.813511,7.280480,31.938381,-62.530598,388.852203,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
137,1.141667,8.441005,-14.846202,7.307209,32.034458,-62.443821,388.587219,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
138,1.150000,8.354530,-14.800451,7.344606,32.147339,-62.324970,388.281158,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
139,1.158333,8.278696,-14.770223,7.370322,32.290146,-62.200829,387.976959,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
140,1.166667,8.251767,-14.775997,7.383634,32.462215,-62.070988,387.737518,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
141,1.175000,8.191085,-14.766519,7.382270,32.681786,-61.927174,387.449402,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
142,1.183333,8.110713,-14.710487,7.380101,32.938564,-61.763077,387.132874,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
